Nodes Availability (Custom Table) for All Nodes from Last Month,,,,,
,,,,,
Timestamp,Node,IP Address,Average Availability,% Packet Loss,Average Response Time
Mar-24,KINGDOM BANK KIKUYU BS RADWIN,10.241.22.73,99.96%,0.20%,4.709818
Mar-24,95046272 KINGDOM BANK-CBK (MAIN LINK),172.30.106.6,99.96%,0.17%,4.726892
Mar-24,95052859 JAMII BORA BANK-KAWANGWARE-PRIMARY FIBER Gpon,172.30.146.6,99.96%,0.52%,15.464311
Mar-24,95023546 KINGDOM BANK KISII FIBRE,172.30.51.218,99.94%,0.33%,16.76941
Mar-24,95059420 KINGDOM BANK KAYOLE FIBRE,172.30.139.218,99.93%,0.58%,13.018994
Mar-24,95060588 KINGDOM BANK MOMBASA MICROWAVE,172.30.146.50,99.93%,0.34%,56.947155
Mar-24,KINGDOM BANK WANGIGE MICROWAVE,172.30.101.158,99.93%,1.07%,19.929808
Mar-24,KINGDOM BANK RONGAI FIBRE,172.30.76.246,99.92%,0.31%,3.769645
Mar-24,95023514 KINGDOM BANK KOINANGE FIBRE,172.30.102.134,99.87%,0.90%,3.553515
Mar-24,95055646 KINGDOM BANK KIAMBU DR 3rd PARTY BACKHAUL,172.30.129.122,99.84%,0.50%,3.479554
Mar-24,95055647 KINGDOM BANK-CBK (KIAMBU-DR),172.30.138.70,99.83%,0.49%,3.614025
Mar-24,95054514 KINGDOM BANK KIAMBU FIBRE,172.30.138.34,99.80%,0.54%,3.893868
Mar-24,701630742 KINGDOM BANK THIKA LTE,172.30.136.146,99.73%,0.73%,18.348158
Mar-24,110583749 KINGDOM BANK KOINANGE LTE,172.30.130.94,99.73%,0.60%,12.263466
Mar-24,110583769 KINGDOM BANK MOMBASA LTE,172.30.44.226,99.72%,0.72%,21.223561
Mar-24,795599254 KINGDOM BANK KAWANGWARE LTE,172.30.77.18,99.70%,0.96%,25.465525
Mar-24,110569487 KINGDOM BANK KISII LTE,172.30.132.86,99.68%,0.68%,25.04746
Mar-24,110583768 KINGDOM BANK RONGAI LTE,172.30.130.102,99.65%,0.74%,12.614841
Mar-24,793984639 KINGDOM BANK KIRINYAGA RD LTE,172.30.53.238,99.65%,1.02%,26.502225
Mar-24,795011760 KINGDOM BANK KAYOLE LTE,172.30.36.246,99.58%,1.07%,22.4403
Mar-24,795196342 KINGDOM BANK KIAMBU LTE,172.30.72.178,99.58%,0.89%,12.250551
Mar-24,704771131 KINGDOM BANK KITENGELA LTE,172.30.143.50,99.51%,1.26%,39.004937
Mar-24,111581950 KINGDOM BANK WANGIGE LTE,172.30.138.166,99.50%,1.65%,26.056022
Mar-24,95052682 HQ KINGDOM BANK PRIMARY INTERNET SFC,41.90.238.62,99.48%,0.70%,8.271637
Mar-24,95054415 KINGDOM BANK NAKURU FIBRE,172.30.140.178,99.06%,2.42%,57.489123
Mar-24,KINGDOM BANK KIKUYU CLIENT RADWIN,10.241.22.72,98.08%,2.28%,34.411095
Mar-24,95052685 KINGDOM BANK KIKUYU MICROWAVE,172.30.130.114,97.93%,2.56%,35.808307
Mar-24,759738605 KINGDOM BANK KIKUYU LTE,172.30.77.214,96.97%,3.60%,15.471217
Mar-24,KINGDOM BANK UTAWALA SFC FIBRE,172.30.78.154,96.30%,3.99%,3.338584
Mar-24,KINGDOM BANK UTAWALA AK,172.30.146.74,96.16%,4.65%,33.15717
Mar-24,KINGDOM BANK NYERI HSU KINGONGO WEST,172.17.89.158,93.73%,7.15%,47.668184
Mar-24,110583701 KINGDOM BANK NYERI LTE,172.30.143.70,93.65%,6.71%,25.249797
Mar-24,KINGDOM BANK NYERI CERAGON,172.30.96.62,93.60%,6.74%,47.013529
Mar-24,950544403 KINGDOM BANK KIRINYAGA RD FIBRE,172.30.137.210,90.72%,9.78%,18.092834
Mar-24,794518509 KINGDOM BANK NAKURU LTE,172.30.17.54,56.51%,44.37%,85.982952
Mar-24,794596284 KINGDOM BANK MTWAPA LTE,172.30.44.230,49.14%,51.01%,8.216867
Feb-24,794518509 KINGDOM BANK NAKURU LTE,172.30.17.54,0.00%,100.00%,
Feb-24,794596284 KINGDOM BANK MTWAPA LTE,172.30.44.230,0.00%,100.00%,
