All VMs by CPU Utilization - Last 7 Days for All Virtual Machines from Last 7 Days,,,,,
,,,,,
Cluster,Host,Name,Date,Average CPU Load (On Host),Average CPU Load
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-DR-VCENTER-SVR,7/1/2024,0.36 %,4.30 %
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-DR-VCENTER-SVR,7/2/2024,0.36 %,4.31 %
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-DR-VCENTER-SVR,7/3/2024,0.36 %,4.30 %
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-ELMA-SVR-OLD,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-ELMA-SVR-OLD,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-ELMA-SVR-OLD,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-ELMA-SVR-OLD,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-ELMA-SVR-OLD,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FILESERVER-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FILESERVER-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FILESERVER-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FILESERVER-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FILESERVER-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FIORANO-LIVE-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FIORANO-LIVE-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FIORANO-LIVE-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FIORANO-LIVE-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FIORANO-LIVE-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FOREX-DISPLAY-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FOREX-DISPLAY-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FOREX-DISPLAY-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FOREX-DISPLAY-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-FOREX-DISPLAY-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_APP.17_SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_APP.17_SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_APP.17_SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_APP.17_SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_APP.17_SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_DB.18_SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_DB.18_SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_DB.18_SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_DB.18_SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBLHQ_DB.18_SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-GW-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-GW-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-GW-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-GW-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-GW-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-LOG-RETENTION-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-LOG-RETENTION-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-LOG-RETENTION-SVR,7/1/2024,,
