Nodes Availability (Custom Table) for All Nodes from Last Month,,,,,
,,,,,
Timestamp,Node,IP Address,Average Availability,% Packet Loss,Average Response Time
Mar-24,KINGDOM BANK KIKUYU BS RADWIN,10.241.22.73,100.00%,0.00%,4
Mar-24,KINGDOM BANK KIKUYU CLIENT RADWIN,10.241.22.72,100.00%,0.00%,7
Mar-24,KINGDOM BANK NYERI CERAGON,172.30.96.62,100.00%,0.00%,20.987012
Mar-24,KINGDOM BANK NYERI HSU KINGONGO WEST,172.17.89.158,100.00%,3.06%,20.32258
Mar-24,KINGDOM BANK RONGAI FIBRE,172.30.76.246,100.00%,0.00%,3
Mar-24,KINGDOM BANK UTAWALA AK,172.30.146.74,100.00%,0.00%,9
Mar-24,KINGDOM BANK UTAWALA SFC FIBRE,172.30.78.154,100.00%,0.00%,3
Mar-24,KINGDOM BANK WANGIGE CLIENT RADWIN,172.17.120.146,100.00%,0.00%,9
Mar-24,KINGDOM BANK WANGIGE MICROWAVE,172.30.101.158,100.00%,0.00%,6.328947
Apr-24,10.241.21.228,10.241.21.228,100.00%,0.05%,8.417654
Apr-24,95014505 KINGDOM BANK HQ MPLS PRIMARY,172.30.72.162,100.00%,0.04%,16.174454
Apr-24,95044677 KINGDOM BANK COLLOCATION DR VIA LIQUID,172.30.87.102,100.00%,0.06%,2.86048
Apr-24,95046272 KINGDOM BANK-CBK (MAIN LINK),172.30.106.6,100.00%,0.04%,2.884352
Apr-24,95052473 KINGDOM BANK HQ INTERNET SECONDARY via AK,41.90.235.146,100.00%,0.05%,8.062544
Apr-24,95052681 KINGDOM BANK HQ MPLS SECONDARY,172.30.140.138,100.00%,0.06%,16.352874
Apr-24,95052682 KINGDOM BANK HQ PRIMARY INTERNET SFC,41.90.238.62,100.00%,0.06%,8.207108
Apr-24,95069568 Kingdom Bank-co-op Trust,172.30.155.73,100.00%,0.04%,33.370734
Apr-24,KINGDOM BANK COLLOCATION DR VIA ITNETWORKS,10.199.0.149,100.00%,0.04%,1.312685
Apr-24,KINGDOM BANK KIKUYU BS RADWIN,10.241.22.73,100.00%,0.03%,4.71491
Apr-24,95023514 KINGDOM BANK KOINANGE FIBRE,172.30.102.134,100.00%,0.07%,3.408327
Apr-24,95060588 Kingdom Bank Mombasa Client Radwin,10.241.21.229,99.99%,0.48%,74.186799
Apr-24,95017954 KINGDOM BANK KITENGELA FIBRE,172.30.37.154,99.98%,0.25%,33.134611
Apr-24,95009741- KINGDOM BANK KISUMU FIBRE (Gpon),172.30.88.226,99.97%,0.18%,13.161098
Apr-24,701630742 KINGDOM BANK THIKA LTE,172.30.136.146,99.93%,0.37%,25.54068
Apr-24,95060588 KINGDOM BANK MOMBASA MICROWAVE,172.30.146.50,99.84%,0.63%,77.149863
Apr-24,795599254 KINGDOM BANK KAWANGWARE LTE,172.30.77.18,99.70%,0.76%,27.314415
Apr-24,95014448 KINGDOM BANK THIKA FIBRE,172.30.53.234,99.66%,0.61%,16.814736
Apr-24,110583749 KINGDOM BANK KOINANGE LTE,172.30.130.94,99.66%,0.45%,11.726209
Apr-24,95054415 KINGDOM BANK NAKURU FIBRE,172.30.140.178,99.59%,1.81%,59.258643
Apr-24,KINGDOM BANK WANGIGE MICROWAVE,172.30.101.158,99.55%,1.41%,32.054981
Apr-24,KINGDOM BANK WANGIGE CLIENT RADWIN,172.17.120.146,99.51%,1.21%,14.0836
Apr-24,794518509 KINGDOM BANK NAKURU LTE,172.30.17.54,99.43%,2.23%,99.958945
Apr-24,110583768 KINGDOM BANK RONGAI LTE,172.30.130.102,99.34%,1.01%,12.612171
Apr-24,KINGDOM BANK RONGAI FIBRE,172.30.76.246,99.33%,0.96%,3.382447
Apr-24,111581950 KINGDOM BANK WANGIGE LTE,172.30.138.166,99.28%,1.86%,40.24754
Apr-24,950544403 KINGDOM BANK KIRINYAGA RD FIBRE,172.30.137.210,99.11%,1.47%,30.038331
Apr-24,793984639 KINGDOM BANK KIRINYAGA RD LTE,172.30.53.238,99.06%,1.51%,37.279109
Apr-24,95052859 KINGDOM BANK KAWANGWARE (Gpon),172.30.146.6,99.01%,1.27%,17.539426
Apr-24,794596284 KINGDOM BANK MTWAPA LTE,172.30.44.230,99.01%,1.07%,8.831704
Apr-24,95009589 KINGDOM BANK Eldoret,172.30.170.50,98.90%,1.24%,16.71525
Apr-24,110583769 KINGDOM BANK MOMBASA LTE,172.30.44.226,98.77%,2.38%,23.243321
Apr-24,95023546 KINGDOM BANK KISII FIBRE,172.30.51.218,98.53%,1.74%,27.314709
Apr-24,110569487 KINGDOM BANK KISII LTE,172.30.132.86,98.49%,1.90%,34.819464
Apr-24,704771131 KINGDOM BANK KITENGELA LTE,172.30.143.50,97.86%,2.56%,39.221655
Apr-24,95055646 KINGDOM BANK KIAMBU DR 3rd PARTY BACKHAUL,172.30.129.122,97.55%,2.73%,3.554869
Apr-24,95054514 KINGDOM BANK KIAMBU FIBRE,172.30.138.34,97.55%,2.72%,3.604689
Apr-24,95055647 KINGDOM BANK-CBK (KIAMBU-DR),172.30.138.70,97.55%,2.74%,3.323523
Apr-24,795196342 KINGDOM BANK KIAMBU LTE,172.30.72.178,97.49%,2.92%,11.806381
Apr-24,95049783 KINGDOM BANK KENNEX PRIMARY,172.30.76.102,97.17%,2.88%,2.223312
Apr-24,KINGDOM BANK KIKUYU CLIENT RADWIN,10.241.22.72,94.60%,6.06%,45.860303
Apr-24,95052685 KINGDOM BANK KIKUYU MICROWAVE,172.30.130.114,94.16%,6.77%,48.472233
Apr-24,759738605 KINGDOM BANK KIKUYU LTE,172.30.77.214,93.71%,7.34%,16.195427
Apr-24,115451108 KINGDOM BANK GIKOMBA (Sdwan),172.30.184.214,90.82%,9.65%,158.268755
Apr-24,95059420 KINGDOM BANK KAYOLE FIBRE,172.30.139.218,89.41%,11.23%,21.834699
Apr-24,795011760 KINGDOM BANK KAYOLE LTE,172.30.36.246,89.23%,11.45%,29.916574
Apr-24,KINGDOM BANK UTAWALA AK,172.30.146.74,88.93%,12.34%,51.836419
Apr-24,KINGDOM BANK UTAWALA SFC FIBRE,172.30.78.154,84.22%,16.17%,3.030983
Apr-24,KINGDOM BANK NYERI CERAGON,172.30.96.62,73.92%,26.93%,73.088068
Apr-24,KINGDOM BANK NYERI HSU KINGONGO WEST,172.17.89.158,73.55%,27.79%,74.51202
Apr-24,110583701 KINGDOM BANK NYERI LTE,172.30.143.70,73.08%,27.83%,34.497503
